dataset,fold,variant,variant_label,epoch_global,stage,stage_boundary_marker,train_total_loss,train_pred_loss,val_loss,val_acc,val_f1,primary_selected,comp_selected,mask_overlap,rule_count,seed,n_train,n_val,n_features,n_outputs,task_kind,elapsed_seconds
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,34,Primary hard,,0.0013339985844989617,0.0013339985844989617,0.09867093707124393,0.9691666666666666,0.9690893901420217,2396.0,2604.0,0.0,18.0,42001,4800,1200,5000,1,binary,28.215556006878614
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,35,Primary hard,,0.0010134397788594167,0.0010134397788594167,0.10105710988243422,0.9691666666666666,0.969243557772236,2396.0,2604.0,0.0,18.0,42001,4800,1200,5000,1,binary,28.95962058007717
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,36,Primary hard,,0.0007921058218926192,0.0007921058218926192,0.09901134657363096,0.9725,0.9723849372384937,2396.0,2604.0,0.0,18.0,42001,4800,1200,5000,1,binary,29.689501942135394
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,37,Primary hard,,0.0006762886939880748,0.0006762886939880748,0.09694426250954469,0.9741666666666666,0.9740150880134115,2396.0,2604.0,0.0,18.0,42001,4800,1200,5000,1,binary,30.51036415901035
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,38,Primary hard,,0.0007094974427794417,0.0007094974427794417,0.09483938654263814,0.9741666666666666,0.9741019214703425,2396.0,2604.0,0.0,18.0,42001,4800,1200,5000,1,binary,31.25040633417666
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,39,Primary hard,,0.0008019807927000026,0.0008019807927000026,0.09332941057781378,0.9741666666666666,0.9740150880134115,2396.0,2604.0,0.0,18.0,42001,4800,1200,5000,1,binary,32.098544771783054
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,40,Primary hard,,0.0008913736130731801,0.0008913736130731801,0.08940379299223424,0.9741666666666666,0.9740585774058578,2396.0,2604.0,0.0,18.0,42001,4800,1200,5000,1,binary,32.99380948394537
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,41,Primary hard,,0.000960444073813657,0.000960444073813657,0.08692277429004511,0.9741666666666666,0.9740585774058578,2396.0,2604.0,0.0,18.0,42001,4800,1200,5000,1,binary,33.77815939672291
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,42,Primary hard,,0.001007915229226152,0.001007915229226152,0.08675320240358511,0.9741666666666666,0.9740585774058578,2396.0,2604.0,0.0,18.0,42001,4800,1200,5000,1,binary,34.571683439426124
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,43,Primary hard,,0.0010050861925507586,0.0010050861925507586,0.08384323867658774,0.9733333333333334,0.9731993299832495,2396.0,2604.0,0.0,18.0,42001,4800,1200,5000,1,binary,35.43599737435579
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,44,Primary hard,,0.0009992043115198612,0.0009992043115198612,0.08248062580823898,0.9733333333333334,0.9731993299832495,2396.0,2604.0,0.0,18.0,42001,4800,1200,5000,1,binary,36.30265149474144
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,45,Primary hard,,0.0009833727730438114,0.0009833727730438114,0.08191377113262813,0.9733333333333334,0.9731993299832495,2396.0,2604.0,0.0,18.0,42001,4800,1200,5000,1,binary,37.07108221016824
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,46,Primary hard,,0.0009758727252483368,0.0009758727252483368,0.08005665667355061,0.9741666666666666,0.9740585774058578,2396.0,2604.0,0.0,18.0,42001,4800,1200,5000,1,binary,37.78434776421636
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,47,Primary hard,,0.00098952642797182,0.00098952642797182,0.07973945510884126,0.975,0.9748743718592965,2396.0,2604.0,0.0,18.0,42001,4800,1200,5000,1,binary,38.70866753254086
Gisette,1,sequential_freeze,Sequential freeze: primary then complementary,48,Primary hard,,0.000978527848298351,0.000978527848298351,0.07918959684669971,0.9758333333333333,0.9757322175732217,2396.0,2604.0,0.0,18.0,42001,4800,1200,5000,1,binary,39.498959032818675
