dataset,fold,variant,variant_label,component,task_kind,n_train,n_val,n_features,n_outputs,seed,train_seconds,criterion,variant_meta,acc,precision,recall,f1,base_active_features,residual_active_features,union_active_features,overlap_active_features,mask_overlap_rate,mask_disjointness_rate,base_prob_mean,residual_prob_mean,base_rule_count,residual_rule_count,total_rule_count,selected_feature_count,rule_weight_entropy,rule_weight_entropy_norm,effective_rule_count,near_zero_rule_weight_rate,near_zero_rule_firing_rate,near_zero_firing_or_weight_rate,nonfinite_rule_weight_count,nonfinite_rule_firing_count,nonfinite_logit_count
Breast_Cancer_Wisconsin_(Original),2,primary_only_same_budget,"Primary-only, same epoch budget",primary,binary,559,140,80,1,42002,3.0629617907106876,BCEWithLogitsLoss,"{""label"": ""Primary-only, same epoch budget""}",0.95,0.8867924528301887,0.9791666666666666,0.9306930693069307,32.0,0.0,32.0,0.0,0.0,1.0,0.4448005259037018,0.5,6.0,0.0,6.0,32.0,1.5796407972063338,0.5575438955000469,4.885056122711727,0.6470588445663452,,0.6470588445663452,0.0,0.0,0.0
Breast_Cancer_Wisconsin_(Original),2,no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",primary,binary,559,140,80,1,42002,3.58802926633507,BCEWithLogitsLoss,"{""label"": ""No hard fine-tune, same epoch budget"", ""scope_note"": ""removes hard-mask fine-tuning phases, not the thresholded complement used between stages""}",0.9285714285714286,0.8518518518518519,0.9583333333333334,0.9019607843137255,31.0,48.0,79.0,0.0,0.0,1.0,0.4501349925994873,0.5642088651657104,6.0,11.0,17.0,79.0,1.771763893536159,0.6253549230950219,5.881547164916992,0.6470588445663452,,0.6470588445663452,0.0,0.0,0.0
Breast_Cancer_Wisconsin_(Original),2,no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",complementary,binary,559,140,80,1,42002,3.58802926633507,BCEWithLogitsLoss,"{""label"": ""No hard fine-tune, same epoch budget"", ""scope_note"": ""removes hard-mask fine-tuning phases, not the thresholded complement used between stages""}",0.8071428571428572,0.7333333333333333,0.6875,0.7096774193548387,31.0,48.0,79.0,0.0,0.0,1.0,0.4501349925994873,0.5642088651657104,6.0,11.0,17.0,79.0,2.7779685957091194,0.9805010327271053,16.086534711292813,0.0,,0.0,0.0,0.0,0.0
Breast_Cancer_Wisconsin_(Original),2,no_hard_finetune_same_budget,"No hard fine-tune, same epoch budget",full,binary,559,140,80,1,42002,3.58802926633507,BCEWithLogitsLoss,"{""label"": ""No hard fine-tune, same epoch budget"", ""scope_note"": ""removes hard-mask fine-tuning phases, not the thresholded complement used between stages""}",0.95,0.8867924528301887,0.9791666666666666,0.9306930693069307,31.0,48.0,79.0,0.0,0.0,1.0,0.4501349925994873,0.5642088651657104,6.0,11.0,17.0,79.0,2.7779685957091194,0.9805010327271053,16.086534711292813,0.0,,0.0,0.0,0.0,0.0
Breast_Cancer_Wisconsin_(Original),2,no_disjoint,No disjoint complementary routing,primary,binary,559,140,80,1,42002,3.4228325681760907,BCEWithLogitsLoss,"{""label"": ""No disjoint complementary routing""}",0.9642857142857143,0.9215686274509803,0.9791666666666666,0.9494949494949495,33.0,73.0,74.0,32.0,0.43243243243243246,0.5675675675675675,0.46846070885658264,0.5263957381248474,6.0,11.0,17.0,74.0,1.711249123300825,0.6039958651576723,5.5402753557477675,0.6470588445663452,,0.6470588445663452,0.0,0.0,0.0
Breast_Cancer_Wisconsin_(Original),2,no_disjoint,No disjoint complementary routing,complementary,binary,559,140,80,1,42002,3.4228325681760907,BCEWithLogitsLoss,"{""label"": ""No disjoint complementary routing""}",0.9142857142857143,0.875,0.875,0.875,33.0,73.0,74.0,32.0,0.43243243243243246,0.5675675675675675,0.46846070885658264,0.5263957381248474,6.0,11.0,17.0,74.0,2.7477194138935634,0.9698243996926716,15.610119683401924,0.0,,0.0,0.0,0.0,0.0
Breast_Cancer_Wisconsin_(Original),2,no_disjoint,No disjoint complementary routing,full,binary,559,140,80,1,42002,3.4228325681760907,BCEWithLogitsLoss,"{""label"": ""No disjoint complementary routing""}",0.9571428571428572,0.9038461538461539,0.9791666666666666,0.94,33.0,73.0,74.0,32.0,0.43243243243243246,0.5675675675675675,0.46846070885658264,0.5263957381248474,6.0,11.0,17.0,74.0,2.7477194138935634,0.9698243996926716,15.610119683401924,0.0,,0.0,0.0,0.0,0.0
Breast_Cancer_Wisconsin_(Original),2,prod_firing,Product firing instead of HTSK,primary,binary,559,140,80,1,42002,3.5787562178447843,BCEWithLogitsLoss,"{""label"": ""Product firing instead of HTSK""}",0.9142857142857143,0.86,0.8958333333333334,0.8775510204081632,22.0,54.0,76.0,0.0,0.0,1.0,0.3527434468269348,0.5156915783882141,6.0,11.0,17.0,76.0,0.22114423857262047,0.07805421480561081,1.2978185645171574,0.7715482115745544,,0.7715482115745544,0.0,0.0,0.0
Breast_Cancer_Wisconsin_(Original),2,prod_firing,Product firing instead of HTSK,complementary,binary,559,140,80,1,42002,3.5787562178447843,BCEWithLogitsLoss,"{""label"": ""Product firing instead of HTSK""}",0.9,0.8541666666666666,0.8541666666666666,0.8541666666666666,22.0,54.0,76.0,0.0,0.0,1.0,0.3527434468269348,0.5156915783882141,6.0,11.0,17.0,76.0,1.2393255609100444,0.4374275472890779,4.5821037641593385,0.2852328469355901,,0.2852328469355901,0.0,0.0,0.0
Breast_Cancer_Wisconsin_(Original),2,prod_firing,Product firing instead of HTSK,full,binary,559,140,80,1,42002,3.5787562178447843,BCEWithLogitsLoss,"{""label"": ""Product firing instead of HTSK""}",0.9142857142857143,0.875,0.875,0.875,22.0,54.0,76.0,0.0,0.0,1.0,0.3527434468269348,0.5156915783882141,6.0,11.0,17.0,76.0,1.2393255609100444,0.4374275472890779,4.5821037641593385,0.2852328469355901,,0.2852328469355901,0.0,0.0,0.0
