dataset,fold,tau,n_eval,input_dim,task_kind,payload_path,lambda_base_s1,lambda_resid_s2,base_selected,residual_self_selected,residual_effective_selected,full_selected,primary_complementary_overlap,primary_residual_self_overlap,base_acc,base_f1,residual_acc,residual_f1,full_acc,full_f1
Vowel,4,0.5,198,26,multiclass,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Vowel__no_mi/fold_04/gh_anfis.pt,0.01,0.0,26,26,0,26,0,26,0.9747474747474747,0.9744910494910495,0.09090909090909091,0.015151515151515152,0.9747474747474747,0.9744910494910495
Vowel,4,0.6,198,26,multiclass,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Vowel__no_mi/fold_04/gh_anfis.pt,0.01,0.0,26,0,0,26,0,0,0.9747474747474747,0.9744910494910495,0.09090909090909091,0.015151515151515152,0.9747474747474747,0.9744910494910495
Vowel,4,0.7,198,26,multiclass,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Vowel__no_mi/fold_04/gh_anfis.pt,0.01,0.0,25,0,0,25,0,0,0.9747474747474747,0.9744910494910495,0.09090909090909091,0.015151515151515152,0.9747474747474747,0.9744910494910495
Vowel,5,0.3,198,26,multiclass,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Vowel__no_mi/fold_05/gh_anfis.pt,0.01,0.0,26,26,0,26,0,26,0.9545454545454546,0.9537988603778077,0.09090909090909091,0.015151515151515152,0.9545454545454546,0.9537988603778077
Vowel,5,0.4,198,26,multiclass,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Vowel__no_mi/fold_05/gh_anfis.pt,0.01,0.0,26,26,0,26,0,26,0.9545454545454546,0.9537988603778077,0.09090909090909091,0.015151515151515152,0.9545454545454546,0.9537988603778077
Vowel,5,0.5,198,26,multiclass,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Vowel__no_mi/fold_05/gh_anfis.pt,0.01,0.0,26,26,0,26,0,26,0.9545454545454546,0.9537988603778077,0.09090909090909091,0.015151515151515152,0.9545454545454546,0.9537988603778077
Vowel,5,0.6,198,26,multiclass,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Vowel__no_mi/fold_05/gh_anfis.pt,0.01,0.0,26,0,0,26,0,0,0.9545454545454546,0.9537988603778077,0.09090909090909091,0.015151515151515152,0.9545454545454546,0.9537988603778077
Vowel,5,0.7,198,26,multiclass,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Vowel__no_mi/fold_05/gh_anfis.pt,0.01,0.0,26,0,0,26,0,0,0.9545454545454546,0.9537988603778077,0.09090909090909091,0.015151515151515152,0.9545454545454546,0.9537988603778077
Spambase,1,0.3,921,57,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Spambase__no_mi/fold_01/gh_anfis.pt,0.001,0.001,42,57,15,57,0,42,0.9142236699239956,0.8936742934051144,0.4788273615635179,0.5190380761523046,0.9142236699239956,0.8948069241011984
Spambase,1,0.4,921,57,binary,/home/harp3133t/Research/03_Research/GH-ANFIS_E404/hyper_parameter/cv_weights/Spambase__no_mi/fold_01/gh_anfis.pt,0.001,0.001,35,57,22,57,0,35,0.9196525515743756,0.8994565217391305,0.5982627578718784,0.6012931034482759,0.9174809989142236,0.8975741239892183
