dataset,fold,mode,branch,status,error,n_train,n_test,n_features,n_outputs,task_kind,base_rules,residual_rules,mf_per_feature,rule_init_mode,rule_seed,epochs_stage1,base_hard_epochs,epochs_stage2,residual_hard_epochs,acc,f1,loss,logits_nan_count,logits_inf_count,param_nan_count,param_inf_count,train_loss_final,runtime_sec,raw_zero_rate,raw_near_zero_rate,log_underflow_pred_rate,max_norm_weight_mean,max_norm_weight_p95,max_norm_weight_max,entropy_mean,effective_rule_count_mean,nan_count,inf_count
vowel,3,htsk,residual,ok,,660,330,26,11,multiclass,6,11,2,balanced,0,80,30,40,20,0.9575757575757575,0.9573550592366226,0.1230907216668129,0,0,0,0,0.02711685374379158,4.21017861366272,0.0,0.0,0.0,0.09090907126665115,0.09090908616781235,0.09090908616781235,2.397895574569702,11.000000953674316,0,0
Gisette,1,prod,base,ok,,4000,2000,5000,1,binary,7,11,2,balanced,0,30,20,30,10,0.5,0.0,0.6931471333503724,0,0,0,0,0.6931580867767334,668.2139265537262,0.0,0.0,0.0,0.14285710453987122,0.1428571194410324,0.1428571194410324,1.945909857749939,6.999999523162842,0,0
Gisette,1,prod,residual,ok,,4000,2000,5000,1,binary,7,11,2,balanced,0,30,20,30,10,0.5,0.0,0.6931471333503724,0,0,0,0,0.6931580867767334,668.2139265537262,0.0,0.0,0.0,0.09090908616781235,0.09090908616781235,0.09090908616781235,2.397895574569702,11.000000953674316,0,0
Gisette,1,htsk,base,ok,,4000,2000,5000,1,binary,7,11,2,balanced,0,30,20,30,10,0.9785,0.9784461152882206,0.07589378702640534,0,0,0,0,0.000822979575023055,463.75809931755066,0.0,0.0,0.0,0.14287585020065308,0.1428893655538559,0.14292381703853607,1.945909857749939,7.0,0,0
Gisette,1,htsk,residual,ok,,4000,2000,5000,1,binary,7,11,2,balanced,0,30,20,30,10,0.9785,0.9784461152882206,0.07589378702640534,0,0,0,0,0.000822979575023055,463.75809931755066,0.0,0.0,0.0,0.09136984497308731,0.09166570007801056,0.09234333038330078,2.397890329360962,10.999944686889648,0,0
Gisette,2,prod,base,ok,,4000,2000,5000,1,binary,7,11,2,balanced,0,30,20,30,10,0.5,0.6666666666666666,0.6931474385261536,0,0,0,0,0.6931491284370422,592.2985055446625,0.0,0.0,0.0,0.14285710453987122,0.1428571194410324,0.1428571194410324,1.945909857749939,6.999999523162842,0,0
Gisette,2,prod,residual,ok,,4000,2000,5000,1,binary,7,11,2,balanced,0,30,20,30,10,0.5,0.6666666666666666,0.6931474385261536,0,0,0,0,0.6931491284370422,592.2985055446625,0.0,0.0,0.0,0.09090908616781235,0.09090908616781235,0.09090908616781235,2.397895574569702,11.000000953674316,0,0
Gisette,2,htsk,base,ok,,4000,2000,5000,1,binary,7,11,2,balanced,0,30,20,30,10,0.968,0.9679679679679679,0.10168246150016785,0,0,0,0,0.0007919337130151689,397.6847879886627,0.0,0.0,0.0,0.14287634193897247,0.14289070665836334,0.1429116576910019,1.9459099769592285,6.999999523162842,0,0
Gisette,2,htsk,residual,ok,,4000,2000,5000,1,binary,7,11,2,balanced,0,30,20,30,10,0.968,0.9679679679679679,0.10168246150016785,0,0,0,0,0.0007919337130151689,397.6847879886627,0.0,0.0,0.0,0.09138976037502289,0.09170156717300415,0.09215398132801056,2.397890090942383,10.999942779541016,0,0
Gisette,3,prod,base,ok,,4000,2000,5000,1,binary,7,11,2,balanced,0,30,20,30,10,0.5,0.6666666666666666,0.6931485362052917,0,0,0,0,0.6931488394737244,573.7803168296814,0.0,0.0,0.0,0.14285710453987122,0.1428571194410324,0.1428571194410324,1.945909857749939,6.999999523162842,0,0
Gisette,3,prod,residual,ok,,4000,2000,5000,1,binary,7,11,2,balanced,0,30,20,30,10,0.5,0.6666666666666666,0.6931485362052917,0,0,0,0,0.6931488394737244,573.7803168296814,0.0,0.0,0.0,0.09090908616781235,0.09090908616781235,0.09090908616781235,2.397895574569702,11.000000953674316,0,0
Gisette,3,htsk,base,ok,,4000,2000,5000,1,binary,7,11,2,balanced,0,30,20,30,10,0.9735,0.9734601902854282,0.09590867841243744,0,0,0,0,0.0007798347594216466,450.04068970680237,0.0,0.0,0.0,0.1428762823343277,0.1428903043270111,0.14291590452194214,1.945909857749939,7.0,0,0
Gisette,3,htsk,residual,ok,,4000,2000,5000,1,binary,7,11,2,balanced,0,30,20,30,10,0.9735,0.9734601902854282,0.09590867841243744,0,0,0,0,0.0007798347594216466,450.04068970680237,0.0,0.0,0.0,0.09139925986528397,0.0917087197303772,0.09212563186883926,2.3978896141052246,10.999937057495117,0,0
