dataset,mode,fold,model,n_features,n_train,n_val,task_kind,dependency,tuning_budget,acc,precision,recall,f1,inner_f1,inner_acc,best_params_json,status,error,runtime_sec
Breast_Cancer_Wisconsin_(Original),no_mi,4,EBM,80,559,140,binary,interpret,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9714285714285714,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.9743589743589743,0.9821428571428571,"{""early_stopping_rounds"": 50, ""interactions"": 0, ""learning_rate"": 0.03, ""max_bins"": 64, ""max_rounds"": 1000, ""outer_bags"": 4}",ok,,2.7773938355967402
Breast_Cancer_Wisconsin_(Original),no_mi,5,RandomForest,80,560,139,binary,scikit-learn,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9424460431654677,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9873417721518988,0.9910714285714286,"{""class_weight"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",ok,,0.8167137382552028
Breast_Cancer_Wisconsin_(Original),no_mi,5,HistGradientBoosting,80,560,139,binary,scikit-learn,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9568345323741008,0.9565217391304348,0.9166666666666666,0.9361702127659575,0.925,0.9464285714285714,"{""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 150, ""max_leaf_nodes"": 31}",ok,,0.2761909971013665
Breast_Cancer_Wisconsin_(Original),no_mi,5,XGBoost,80,560,139,binary,xgboost,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9424460431654677,0.9347826086956522,0.8958333333333334,0.9148936170212766,0.9367088607594937,0.9553571428571429,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.9}",ok,,0.27160897199064493
Breast_Cancer_Wisconsin_(Original),no_mi,5,LightGBM,80,560,139,binary,lightgbm,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9424460431654677,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9113924050632911,0.9375,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""n_estimators"": 300, ""num_leaves"": 31, ""subsample"": 0.9}",ok,,0.1467062011361122
Breast_Cancer_Wisconsin_(Original),no_mi,5,CatBoost,80,560,139,binary,catboost,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9568345323741008,0.9375,0.9375,0.9375,0.961038961038961,0.9732142857142857,"{""depth"": 3, ""iterations"": 500, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03}",ok,,0.3004872100427747
Breast_Cancer_Wisconsin_(Original),no_mi,5,EBM,80,560,139,binary,interpret,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9568345323741008,0.9375,0.9375,0.9375,0.9743589743589743,0.9821428571428571,"{""early_stopping_rounds"": 50, ""interactions"": 0, ""learning_rate"": 0.03, ""max_bins"": 64, ""max_rounds"": 1000, ""outer_bags"": 4}",ok,,2.9132664054632187
Vowel,no_mi,1,RandomForest,29,792,198,multiclass,scikit-learn,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9646464646464646,0.966188197767145,0.9646464646464646,0.9637861545756283,0.9555663758706973,0.9559748427672956,"{""class_weight"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",ok,,1.4590213960036635
Vowel,no_mi,1,HistGradientBoosting,29,792,198,multiclass,scikit-learn,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.898989898989899,0.9031869446343131,0.898989898989899,0.8963437867462636,0.8977461857667326,0.89937106918239,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 250, ""max_leaf_nodes"": 31}",ok,,3.45944466535002
Vowel,no_mi,1,XGBoost,29,792,198,multiclass,xgboost,2 configs selected by inner 20% stratified validation; refit on each outer-fold train split,0.9343434343434344,0.9357429335370511,0.9343434343434344,0.9333230237255004,0.8734208096971261,0.8742138364779874,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""subsample"": 0.9}",ok,,2.506283761933446
